2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
912.84,914.19,913.2,911.8,912.1,908.8,911.4,906.7,906.1,914.1,906.6,910.6,912.1,910.7,904.3,913.2,907.1,913.0,909.0,911.0,911.1
912.84,914.19,913.2,911.5,911.8,908.4,911.2,906.8,905.8,914.3,906.6,910.2,911.7,910.3,904.3,912.6,907.0,912.3,908.5,910.3,910.9
912.84,914.19,913.2,911.2,911.5,908.0,910.9,906.6,905.6,914.3,905.9,909.6,911.4,909.6,904.0,911.8,907.4,911.5,907.9,910.0,910.5
912.84,914.19,913.2,910.8,911.2,907.3,910.6,906.1,905.0,914.0,905.8,909.1,910.9,909.1,903.3,911.1,907.0,910.8,907.3,908.8,910.1
912.84,914.19,913.2,910.3,910.5,906.4,910.4,905.6,904.8,913.9,905.4,909.3,910.4,910.5,902.9,910.3,906.6,910.4,907.2,907.7,909.6
912.84,914.19,913.2,910.0,910.0,905.7,909.9,904.6,904.5,914.0,905.0,910.1,910.2,910.1,902.1,909.5,906.4,910.3,906.6,907.0,909.1
912.84,914.19,913.2,909.6,909.9,905.9,909.4,904.3,904.3,913.8,904.7,909.4,910.1,909.1,902.3,909.0,906.9,910.0,906.3,906.0,908.7
912.84,914.19,913.2,909.3,909.8,906.1,909.0,904.4,904.1,913.6,904.6,909.2,910.3,909.1,902.4,909.1,907.3,910.1,906.5,905.9,908.3
912.84,914.19,913.2,909.3,909.8,911.85,909.5,904.5,904.6,913.9,905.1,909.7,910.3,909.9,902.4,909.1,908.1,910.7,907.1,906.2,908.4
912.84,914.19,913.2,909.9,910.3,911.85,910.6,905.0,905.5,914.4,906.0,910.1,911.0,910.7,902.6,909.8,909.5,910.7,908.1,906.6,909.3
912.84,914.19,913.2,910.2,911.1,911.85,911.5,905.4,906.5,914.8,906.8,910.7,911.6,911.0,903.0,910.7,910.1,911.1,909.1,907.1,910.0
912.84,914.19,913.2,910.5,912.53,911.85,912.3,905.9,907.0,915.3,906.6,912.1,912.2,911.6,903.9,911.2,910.5,911.6,909.7,907.5,910.7
912.84,914.19,913.2,911.1,912.2,911.85,912.9,906.3,907.5,915.8,907.4,913.0,912.2,912.0,904.1,911.3,910.5,911.7,909.8,908.2,911.0
912.84,914.19,913.2,911.4,912.2,911.85,913.4,906.3,907.7,915.9,907.5,913.2,911.8,911.8,903.8,910.9,909.8,911.3,909.4,908.0,910.5
912.84,914.19,913.2,911.2,911.9,911.85,913.1,905.9,907.4,915.4,906.9,912.8,911.7,911.5,903.4,910.2,909.3,910.8,908.7,907.4,910.3
912.84,914.19,913.2,910.8,910.8,911.85,911.89,905.1,907.1,914.7,906.2,911.8,911.2,911.5,902.9,909.4,909.2,910.3,908.3,907.0,909.8
912.84,914.19,913.2,910.1,910.8,911.85,911.89,904.5,906.6,914.2,905.9,911.8,910.9,910.9,903.1,909.1,909.3,910.4,908.8,905.9,909.4
912.84,914.19,913.2,909.8,910.5,911.85,911.89,903.8,906.6,913.9,905.8,911.7,910.7,910.3,903.1,909.4,909.4,910.4,909.5,905.2,909.0
912.84,914.19,913.2,909.7,910.7,911.85,911.89,903.6,906.9,914.5,906.1,912.1,910.6,910.6,903.4,909.8,909.7,910.6,909.6,905.2,908.9
912.84,914.19,913.2,909.7,911.2,911.85,911.89,903.7,907.3,914.9,906.9,912.5,911.3,910.8,904.1,909.9,910.2,910.9,909.8,905.8,908.9
912.84,914.19,913.2,910.3,911.9,911.85,911.89,904.1,907.8,915.7,907.4,912.8,912.0,911.7,905.1,910.1,910.6,911.2,909.8,906.3,909.5
912.84,914.19,913.2,910.8,912.5,911.85,911.89,904.8,908.7,916.4,908.0,913.2,912.3,912.1,905.5,910.3,911.1,911.7,910.0,906.8,910.1
912.84,914.19,913.2,911.2,913.1,911.85,914.0,905.5,909.1,916.8,908.6,913.6,912.5,912.3,905.9,910.5,911.6,912.1,909.8,907.5,910.5
912.84,914.19,913.2,911.1,912.9,903.4,914.5,905.9,909.4,917.3,908.7,913.8,913.0,912.5,906.0,910.2,911.9,912.1,909.3,907.9,910.5
912.84,914.19,913.2,911.0,912.9,903.0,914.4,905.9,909.3,917.4,908.9,914.3,913.4,912.4,906.3,910.1,911.7,912.1,908.6,908.3,910.6
912.84,914.19,913.2,910.8,913.1,902.5,914.4,905.9,909.1,917.3,908.8,914.3,913.1,911.8,906.1,909.5,911.5,912.2,908.0,907.9,910.4
912.84,914.19,913.2,910.5,912.3,902.1,913.9,905.4,908.5,917.4,908.6,914.0,912.9,911.4,905.7,909.1,911.3,911.9,907.0,907.6,910.1
912.84,914.19,913.2,910.0,911.3,901.8,913.4,904.7,908.1,917.2,908.7,914.0,912.5,910.4,905.5,908.9,911.4,911.2,906.3,906.9,909.7
912.84,914.19,913.2,909.7,911.1,901.3,913.1,904.0,907.9,916.8,908.0,913.4,911.9,909.5,905.5,908.2,910.9,910.6,905.8,905.8,909.5
912.84,914.19,913.2,909.1,910.4,900.9,913.1,903.4,907.5,916.5,908.1,913.1,911.6,908.4,905.4,908.0,910.3,910.6,905.7,904.9,909.2
912.84,914.19,913.2,908.3,910.9,900.4,912.8,903.2,907.4,915.8,907.7,912.3,911.6,907.3,905.3,907.3,910.1,910.2,906.0,904.2,909.2
912.84,914.19,913.2,907.4,911.6,901.1,911.89,903.2,907.3,915.5,907.9,911.8,911.4,907.5,905.4,907.9,910.1,910.2,906.2,904.1,909.6
912.84,914.19,913.2,908.0,911.6,901.6,911.89,903.7,907.7,915.7,909.1,912.6,911.6,908.3,906.4,908.5,910.5,910.9,906.9,904.3,909.6
912.84,914.19,913.2,908.5,912.0,902.2,911.89,904.2,908.5,916.0,910.4,912.6,912.4,909.2,907.4,909.2,911.0,911.6,908.0,905.2,910.3
912.84,914.19,913.2,909.0,912.4,903.3,911.89,904.9,909.3,916.4,911.7,913.2,912.8,909.4,908.4,909.9,911.2,911.9,908.4,906.6,910.5
912.84,914.19,913.2,909.6,913.1,904.6,911.89,905.2,909.6,916.9,912.6,913.5,913.3,910.9,909.3,910.0,911.3,912.0,908.6,907.5,911.2
912.84,914.19,913.2,910.0,912.9,905.0,911.89,905.6,909.9,917.2,912.6,914.4,913.8,911.1,910.0,910.4,911.2,911.9,908.1,908.0,911.7
912.84,914.19,913.2,909.8,912.6,905.2,911.89,905.6,910.0,917.4,912.5,914.3,913.9,911.3,910.2,910.4,910.2,911.5,907.3,908.0,911.9
912.84,914.19,913.2,909.5,911.9,905.4,911.89,905.2,909.7,917.2,912.1,914.2,913.6,910.8,910.0,909.5,909.4,911.0,906.2,908.0,911.6
912.84,914.19,913.2,908.8,911.0,905.5,911.89,904.8,909.6,916.6,911.8,913.6,912.8,909.5,909.7,908.9,908.6,910.4,905.5,906.7,910.8
912.84,914.19,913.2,908.3,910.5,904.9,911.89,904.4,909.2,916.1,911.2,912.9,912.5,909.4,909.6,908.6,908.4,910.3,905.2,906.3,910.2
912.84,914.19,913.2,907.8,910.8,904.7,911.89,904.3,909.2,915.6,911.2,912.9,912.0,909.1,909.7,909.4,908.1,910.3,905.1,905.9,910.2
912.84,914.19,913.2,907.7,911.2,904.9,911.89,904.6,909.6,915.7,911.6,913.0,911.8,909.3,910.1,909.7,908.4,910.1,905.9,906.1,910.0
912.84,914.19,913.2,908.0,911.3,905.3,911.89,904.5,909.9,916.0,912.3,913.3,911.9,909.7,910.8,910.2,909.0,910.5,906.3,906.1,910.1
912.84,914.19,913.2,908.2,911.5,911.85,911.89,904.6,910.3,916.3,913.2,914.0,912.2,910.2,911.3,910.8,909.5,910.7,906.2,906.5,910.5
912.84,914.19,913.2,908.6,911.6,911.85,911.89,905.3,911.2,916.8,913.7,914.5,913.0,910.6,911.7,911.2,909.6,910.9,906.5,906.9,910.9
912.84,914.19,913.2,909.1,912.3,907.5,913.8,905.6,911.4,917.3,914.3,914.9,913.3,910.3,912.0,911.4,909.7,910.8,906.5,907.5,911.1
912.84,914.19,913.2,909.0,912.6,907.9,913.6,905.9,911.6,917.4,914.7,915.1,913.7,910.5,912.0,911.4,909.8,911.2,906.3,907.7,911.6
912.84,914.19,913.2,909.0,913.0,908.3,913.4,906.1,911.5,917.5,914.9,914.9,913.8,910.8,912.1,911.1,909.3,911.3,905.9,908.2,912.0
912.84,914.19,913.2,908.5,913.3,908.2,913.3,906.0,911.0,917.4,915.1,914.6,913.9,910.7,911.9,910.5,908.7,911.0,905.3,908.5,912.0
912.84,914.19,913.2,907.7,912.9,908.1,912.8,905.8,910.6,917.2,914.8,914.1,914.0,910.1,911.4,910.0,909.1,910.2,904.7,909.7,911.8
912.84,914.19,913.2,907.0,912.1,908.0,912.0,905.4,910.1,917.0,914.5,913.4,913.8,909.9,910.9,909.4,909.0,909.8,903.6,909.6,911.4
912.84,914.19,913.2,906.1,911.7,907.7,911.4,904.6,909.7,916.5,914.6,913.1,913.1,909.0,910.3,908.7,908.2,909.2,902.9,908.3,911.0
